track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6y5s9BzDRNWNVgJFeAjOld,0.877,0.508,2,-12.528,1,0.149,0.509,0.00251,0.107,0.968,151.987,257787,4
1i1cno5hkn8DMWPh6AOHG7,0.448,0.788,4,-8.697,1,0.0513,0.78,1.83e-6,0.836,0.775,163.592,327560,4
5ZAE7mG7SUcHAkorXb2poH,0.59,0.72,7,-10.114,0,0.0791,0.744,0,0.884,0.722,86.764,289000,4
5208LKuihL0farASiFLxEl,0.495,0.785,7,-8.87,1,0.0601,0.76,1.35e-4,0.71,0.907,99.253,224733,4
66jIbP0CWnN0xddnu2mXzY,0.655,0.621,0,-8.044,1,0.203,0.559,0,0.0764,0.86,104.418,164440,4
2m9u9utG8EItr05vCBKbYy,0.634,0.625,5,-10.287,0,0.045,0.743,0.00191,0.213,0.834,97.79,258507,4
5Ha5HRZf44vVpNCMcznGhq,0.392,0.489,10,-11.782,1,0.0297,0.805,0.0151,0.867,0.435,157.855,275613,4
1AeZGZtgWxgd5ye9h7rzWx,0.284,0.811,0,-10.494,1,0.11,0.304,0,0.83,0.501,168.972,209000,4
4xEB3lKwamvl8lo8f2TGuK,0.497,0.828,2,-7.476,1,0.0478,0.396,0,0.877,0.823,99.925,201773,4
5KDgtCIqnrnIb9thLNFc3j,0.445,0.84,5,-10.82,1,0.133,0.559,0,0.737,0.601,111.645,296067,4
4OFOtm9ye8HflrFdsYNjXA,0.382,0.746,0,-11.912,1,0.0517,0.188,0,0.65,0.8,107.495,253493,4
22oU174hVHEZ1FssSXSS0d,0.66,0.85,2,-6.456,0,0.117,0.54,1.46e-6,0.224,0.912,109.32,146667,4
1f0W7YIdWXuJ70ZU6j5VBA,0.698,0.744,2,-6.949,1,0.0509,0.652,0,0.125,0.945,107.065,198533,4
1yqJ3Xi70OumcNDUgVAT5p,0.626,0.876,7,-6.873,0,0.0882,0.205,0,0.06,0.944,100.767,198960,4
0QRctW6iyXZIVML10fCIsT,0.478,0.86,2,-5,0,0.0653,0.302,0,0.518,0.735,145.89,146613,4
1eClkQyLLUHBBUXyenmnvg,0.355,0.895,11,-7.129,0,0.168,0.563,0,0.958,0.607,131.642,211486,4
55ZjdmU2X8iClV61wAdHX6,0.71,0.677,4,-12.371,0,0.0519,0.154,0.00961,0.155,0.871,107.108,204093,4
22LLjUNRN1fT4U5MlsB6wo,0.783,0.435,10,-9.099,1,0.318,0.625,1.52e-6,0.0867,0.74,80.936,233467,4
5oiNhg6YWcT4vJroy6uBPl,0.611,0.688,3,-8.125,1,0.0311,0.1,4.72e-5,0.102,0.899,87.09,285000,4
4QvN1r5iloT7eKvx6mjNdq,0.645,0.829,0,-10.893,0,0.0496,0.386,2.54e-4,0.0676,0.896,94.817,219133,4
3qPnbpHtxQW93ZJFYS2e3t,0.445,0.113,2,-17.507,1,0.039,0.894,3.53e-4,0.682,0.118,60.941,163813,4
4SEx1Mc336R0lzT097VQ7U,0.416,0.719,9,-8.098,1,0.133,0.749,0,0.831,0.314,98.811,211413,4
3nKTY7PoeXuE80ejopbmZ5,0.679,0.575,2,-14.2,1,0.0516,0.179,0.0317,0.0855,0.62,92.078,235067,4
74lMtROmxSKhnXc7CiL60j,0.834,0.948,9,-4.393,1,0.0827,0.0916,0.00142,0.173,0.952,139.969,326267,4
5IocKfGOEyFiBolTgguc5c,0.693,0.809,11,-9.067,0,0.0817,0.0322,4.53e-5,0.0383,0.513,149.825,219200,4
3C8ULtjiUmTtcpE7QJBZ7G,0.705,0.337,11,-14.457,1,0.343,0.284,3.12e-6,0.0747,0.6,96.556,205200,4
0uEVdsaRVRcjKIkGn7Wu4e,0.693,0.709,9,-9.5,1,0.0516,0.383,2.49e-5,0.242,0.817,111.435,155733,4
3SLfDGY3UqESBUEdd7K2Ev,0.725,0.477,0,-8.704,1,0.188,0.101,0,0.0954,0.702,110.199,240640,4
7Fpa5YcWRvaYfwNyGjnAqQ,0.742,0.655,2,-9.615,1,0.0696,0.872,1.82e-4,0.142,0.845,113.951,194427,4
72yGnYWH021VU6UeAsM7Bd,0.761,0.275,2,-12.99,0,0.0733,0.805,0.00102,0.101,0.778,133.666,188360,4
68a1PNlHfiQqUlCrUIyOoH,0.547,0.718,11,-10.075,1,0.268,0.825,1.57e-4,0.873,0.927,200.682,203580,4
76gxg0ZNq873zRgVHEAIR9,0.793,0.617,10,-8.953,0,0.107,0.0732,8.66e-5,0.141,0.323,112.001,185707,4
3Pz0EPURuJlpuUCRzgb7hQ,0.678,0.699,9,-9.073,1,0.0423,0.472,6.71e-4,0.171,0.924,107.163,172733,4
6ifmyWh0fMLCHw886tbh49,0.688,0.521,9,-12.781,0,0.273,0.833,0.715,0.714,0.844,169.129,158125,4
1xxElCt9vsM0XDG73Z0XAj,0.411,0.788,6,-7.835,0,0.045,0.559,0,0.76,0.68,169.015,309298,4
1LzIFh9wwqNbC4ErUOAu0y,0.478,0.743,2,-5.756,1,0.0381,0.512,0,0.898,0.52,88.363,200922,4
3lLIvGJ8R0Xa8fEU8lGUVU,0.557,0.838,0,-5.183,1,0.0585,0.763,0,0.972,0.7,92.015,196863,4
73q45gKGDENDrNsq9LSg7b,0.604,0.633,11,-9.302,1,0.0905,0.622,0,0.261,0.715,84.844,186028,4
7Hy7Wt77IHShFeJNi8aKtm,0.757,0.795,5,-4.971,1,0.0938,0.461,0,0.226,0.962,112.042,207797,4
6xmM9GH7pR0b6y1SRJcASp,0.491,0.872,2,-5.819,0,0.0538,0.72,1.91e-6,0.791,0.868,117.618,253955,4
3MTZy994A7jWEAXFkwQUOj,0.316,0.802,9,-7.545,1,0.049,0.605,1.06e-5,0.893,0.685,87.638,265571,4
5WI1DF0p5VWaD7J9Sfmmqu,0.611,0.79,4,-5.235,0,0.0632,0.319,0,0.272,0.923,99.963,215856,4
6Uhnj8W9qflWLavYUfHkPJ,0.842,0.416,7,-9.292,1,0.0972,0.125,0,0.0927,0.542,133.938,153667,4
3pv7gaBIzHN6ktYoKJcqG7,0.638,0.371,7,-10.009,0,0.0303,0.809,3.6e-4,0.0974,0.422,74.01,226720,4
2EOi7E2OSBAytoumN3w2zQ,0.788,0.387,7,-12.346,1,0.124,0.735,0,0.159,0.528,115.052,196773,4
4IoJt6fsZwnTihwLrLzIhs,0.757,0.34,7,-13.967,0,0.107,0.631,0.0109,0.162,0.962,156.024,233827,4
4JfUmOwIYZXPhiBcLkamKr,0.546,0.607,7,-7.884,1,0.0486,0.153,0.00319,0.234,0.685,102.86,156147,4
1KU6XmqUCyCOa7wNdvhSuE,0.757,0.413,4,-12.893,1,0.0627,0.823,0,0.115,0.614,100.046,237147,4
36AZErYuy8TcbzGqjrGHvI,0.627,0.588,5,-9.45,1,0.0845,0.683,1.64e-5,0.708,0.745,94.274,229413,4
47cSnNq5zWR7Mj7qyErukz,0.581,0.436,2,-10.45,1,0.0568,0.205,1.89e-6,0.701,0.663,151.912,271893,4
0eRbWc5LaGTLKDCbWMPs8c,0.604,0.598,9,-9.017,1,0.123,0.567,4.31e-5,0.716,0.485,89.519,205427,4
